CPU,1,0
CPU,3,0
CPU,5,0
CPU,7,0
CPU,9,0
CPU,11,0
CPU,13,0.016675
CPU,15,0
CPU,17,0.01665
CPU,19,0
CPU,21,0
CPU,23,0.016675
CPU,25,0.01665
CPU,27,0.016675
CPU,29,0
CPU,31,0
CPU,33,0
CPU,35,0.01665
CPU,37,0
CPU,39,0
CPU,41,0
CPU,43,0
CPU,45,0
CPU,47,0
CPU,49,0
CPU,51,0
CPU,53,0
CPU,55,0
CPU,57,0
CPU,59,0
CPU,61,0.01665
CPU,63,0
CPU,65,0
CPU,67,0
CPU,69,0
CPU,71,0
CPU,73,0.01665
CPU,75,0
CPU,77,0
CPU,79,0
IO,0,11.9667
IO,2,12.0167
IO,4,12.0667
IO,6,12.1167
IO,8,12.15
IO,10,12.1833
IO,12,12.2167
IO,14,12.2667
IO,16,12.3166
IO,18,12.3333
IO,20,12.3834
IO,22,12.4167
IO,24,12.4333
IO,26,12.4334
IO,28,12.45
IO,30,12.4833
IO,32,12.4666
IO,34,12.5
IO,36,12.5
IO,38,12.5
IO,40,12.5167
IO,42,12.5167
IO,44,12.5333
IO,46,12.5333
IO,48,12.5334
IO,50,12.55
IO,52,12.5667
IO,54,12.55
IO,56,12.55
IO,58,12.5833
IO,60,12.5833
IO,62,12.5833
IO,64,12.5833
IO,66,12.5667
IO,68,12.5667
IO,70,12.5833
IO,72,12.5666
IO,74,12.55
IO,76,12.55
IO,78,12.5333
