CPU,1,0
CPU,3,0
CPU,5,0
CPU,7,0
CPU,9,0
CPU,11,0
CPU,13,0
CPU,15,0
CPU,17,0
CPU,19,0.01665
CPU,21,0
CPU,23,0
CPU,25,0
CPU,27,0
CPU,29,0
CPU,31,0
CPU,33,0
CPU,35,0
CPU,37,0
CPU,39,0
CPU,41,0
CPU,43,0
CPU,45,0
CPU,47,0
CPU,49,0
CPU,51,0
CPU,53,0
CPU,55,0
CPU,57,0.016675
CPU,59,0
CPU,61,0
CPU,63,0
CPU,65,0
CPU,67,0
CPU,69,0
CPU,71,0
CPU,73,0.016675
CPU,75,0
CPU,77,0
CPU,79,0
IO,0,11.8
IO,2,11.85
IO,4,11.8833
IO,6,11.9333
IO,8,11.9833
IO,10,12.0167
IO,12,12.05
IO,14,12.1
IO,16,12.1166
IO,18,12.1667
IO,20,12.2
IO,22,12.25
IO,24,12.2833
IO,26,12.3
IO,28,12.3167
IO,30,12.3167
IO,32,12.3166
IO,34,12.35
IO,36,12.4
IO,38,12.4167
IO,40,12.4167
IO,42,12.4334
IO,44,12.4333
IO,46,12.4333
IO,48,12.4333
IO,50,12.45
IO,52,12.4666
IO,54,12.45
IO,56,12.45
IO,58,12.45
IO,60,12.45
IO,62,12.45
IO,64,12.45
IO,66,12.4334
IO,68,12.45
IO,70,12.4333
IO,72,12.4333
IO,74,12.4167
IO,76,12.4167
IO,78,12.4
